date,channel_medium,purchases,revenue_usd
2020-11-01,(data deleted),1,60.0
2020-11-01,(none),6,332.0
2020-11-01,<Other>,1,34.0
2020-11-01,organic,2,95.0
2020-11-01,referral,4,252.0
2020-11-02,(data deleted),12,2196.0
2020-11-02,(none),11,632.0
2020-11-02,<Other>,3,190.0
2020-11-02,cpc,2,79.0
2020-11-02,organic,10,660.0
2020-11-02,referral,11,1032.0
2020-11-03,(data deleted),11,823.0
2020-11-03,(none),14,868.0
2020-11-03,<Other>,5,294.0
2020-11-03,cpc,1,50.0
2020-11-03,organic,8,590.0
2020-11-03,referral,10,688.0
2020-11-04,(data deleted),7,481.0
2020-11-04,(none),5,321.0
2020-11-04,<Other>,14,252.0
2020-11-04,cpc,1,87.0
2020-11-04,organic,11,692.0
2020-11-04,referral,8,364.0
2020-11-05,(data deleted),7,504.0
2020-11-05,(none),6,380.0
2020-11-05,<Other>,3,319.0
2020-11-05,cpc,1,87.0
2020-11-05,organic,1,18.0
2020-11-05,referral,8,484.0
2020-11-06,(data deleted),4,116.0
2020-11-06,(none),12,938.0
2020-11-06,<Other>,3,153.0
2020-11-06,cpc,1,24.0
2020-11-06,organic,26,1455.0
2020-11-06,referral,12,752.0
2020-11-07,(data deleted),1,79.0
2020-11-07,(none),6,347.0
2020-11-07,<Other>,3,233.0
2020-11-07,cpc,2,139.0
2020-11-07,organic,14,1362.0
2020-11-07,referral,5,371.0
2020-11-08,(data deleted),6,880.0
2020-11-08,(none),5,488.0
2020-11-08,<Other>,5,191.0
2020-11-08,organic,9,835.0
2020-11-08,referral,7,1366.0
2020-11-09,(data deleted),12,308.0
2020-11-09,(none),13,351.0
2020-11-09,<Other>,6,198.0
2020-11-09,organic,13,773.0
2020-11-09,referral,8,524.0
2020-11-10,(data deleted),8,411.0
2020-11-10,(none),16,1173.0
2020-11-10,<Other>,10,553.0
2020-11-10,cpc,2,92.0
2020-11-10,organic,17,981.0
2020-11-10,referral,11,831.0
2020-11-11,(data deleted),9,1559.0
2020-11-11,(none),14,849.0
2020-11-11,<Other>,7,207.0
2020-11-11,cpc,3,123.0
2020-11-11,organic,16,698.0
2020-11-11,referral,15,992.0
2020-11-12,(data deleted),4,300.0
2020-11-12,(none),11,762.0
2020-11-12,<Other>,6,344.0
2020-11-12,cpc,1,162.0
2020-11-12,organic,11,630.0
2020-11-12,referral,21,1151.0
2020-11-13,(data deleted),17,1261.0
2020-11-13,(none),19,1066.0
2020-11-13,<Other>,14,728.0
2020-11-13,organic,17,1986.0
2020-11-13,referral,12,790.0
2020-11-14,(data deleted),5,477.0
2020-11-14,(none),5,298.0
2020-11-14,<Other>,7,412.0
2020-11-14,organic,4,321.0
2020-11-14,referral,9,830.0
2020-11-15,(data deleted),3,165.0
2020-11-15,(none),4,421.0
2020-11-15,<Other>,1,42.0
2020-11-15,cpc,1,129.0
2020-11-15,organic,6,340.0
2020-11-15,referral,6,386.0
2020-11-16,(data deleted),6,418.0
2020-11-16,(none),21,1414.0
2020-11-16,<Other>,9,837.0
2020-11-16,cpc,3,92.0
2020-11-16,organic,20,1562.0
2020-11-16,referral,10,723.0
2020-11-17,(data deleted),17,892.0
2020-11-17,(none),23,2032.0
2020-11-17,<Other>,12,788.0
2020-11-17,organic,28,1496.0
2020-11-17,referral,18,1019.0
2020-11-18,(data deleted),10,658.0
2020-11-18,(none),21,1344.0
2020-11-18,<Other>,6,117.0
2020-11-18,cpc,3,211.0
2020-11-18,organic,17,1307.0
2020-11-18,referral,11,938.0
2020-11-19,(data deleted),9,714.0
2020-11-19,(none),18,1414.0
2020-11-19,<Other>,11,901.0
2020-11-19,cpc,1,0.0
2020-11-19,organic,19,1303.0
2020-11-19,referral,26,1420.0
2020-11-20,(data deleted),20,1024.0
2020-11-20,(none),26,1954.0
2020-11-20,<Other>,8,630.0
2020-11-20,cpc,5,268.0
2020-11-20,organic,34,2192.0
2020-11-20,referral,25,2724.0
2020-11-21,(data deleted),5,86.0
2020-11-21,(none),12,432.0
2020-11-21,<Other>,8,466.0
2020-11-21,cpc,8,302.0
2020-11-21,organic,16,1360.0
2020-11-21,referral,19,1690.0
2020-11-22,(data deleted),11,1042.0
2020-11-22,(none),12,778.0
2020-11-22,<Other>,3,290.0
2020-11-22,organic,24,754.0
2020-11-22,referral,10,564.0
2020-11-23,(data deleted),18,1104.0
2020-11-23,(none),23,2150.0
2020-11-23,<Other>,26,820.0
2020-11-23,cpc,6,268.0
2020-11-23,organic,38,2070.0
2020-11-23,referral,30,2070.0
2020-11-24,(data deleted),22,1662.0
